Adapted start,Adapted end,Classification,,,,,
263.25,263.75,other,,,,,
263.75,264.25,traffic,,,,,
264.25,264.75,other,,,,,
264.75,265.25,other,,,,,
265.25,265.75,traffic,,,,,
265.75,266.25,other,,,,,
266.25,266.75,traffic,,,,,
266.75,267.25,traffic,,,,,
267.25,267.75,traffic,,,,,
267.75,268.25,traffic,,,,,
268.25,268.75,traffic,,,,,
268.75,269.25,traffic,,,,,
269.25,269.75,traffic,,,,,
269.75,270.25,traffic,,,,,
270.25,270.75,traffic,,,,,
270.75,271.25,traffic,,,,,
271.25,271.75,traffic,,,,,
271.75,272.25,traffic,,,,,
272.25,272.75,traffic,,,,,
272.75,273.25,traffic,,,,,
273.25,273.75,traffic,,,,,
273.75,274.25,traffic,,,,,
274.25,274.75,traffic,,,,,
274.75,275.25,traffic,,,,,
275.25,275.75,traffic,,,,,
275.75,276.25,traffic,,,,,
276.25,276.75,traffic,,,,,
276.75,277.25,traffic,,,,,
277.25,277.75,traffic,,,,,
277.75,278.25,other,,,,,
278.25,278.75,other,,,,,
278.75,279.25,other,,,,,
279.25,279.75,traffic,,,,,
279.75,280.25,traffic,,,,,
280.25,280.75,other,,,,,
280.75,281.25,traffic,,,,,
281.25,281.75,traffic,,,,,
281.75,282.25,traffic,,,,,
282.25,282.75,traffic,,,,,
282.75,283.25,traffic,,,,,
283.25,283.75,other,,,,,
283.75,284.25,traffic,,,,,
284.25,284.75,traffic,,,,,
284.75,285.25,other,,,,,
285.25,285.75,traffic,,,,,
285.75,286.25,traffic,,,,,
286.25,286.75,traffic,,,,,
286.75,287.25,traffic,,,,,
287.25,287.75,traffic,,,,,
287.75,288.25,traffic,,,,,
288.25,288.75,other,,,,,
288.75,289.25,traffic,,,,,
289.25,289.75,traffic,,,,,
289.75,290.25,traffic,,,,,
290.25,290.75,traffic,,,,,
290.75,291.25,traffic,,,,,
291.25,291.75,traffic,,,,,
291.75,292.25,traffic,,,,,
292.25,292.75,traffic,,,,,
292.75,293.25,traffic,,,,,
293.25,293.75,traffic,,,,,
293.75,294.25,traffic,,,,,
294.25,294.75,traffic,,,,,
294.75,295.25,other,,,,,
295.25,295.75,other,,,,,
295.75,296.25,other,,,,,
296.25,296.75,traffic,,,,,
296.75,297.25,traffic,,,,,
297.25,297.75,other,,,,,
297.75,298.25,traffic,,,,,
298.25,298.75,traffic,,,,,
298.75,299.25,other,,,,,
299.25,299.75,other,,,,,
299.75,300.25,other,,,,,
300.25,300.75,traffic,,,,,
300.75,301.25,traffic,,,,,
301.25,301.75,traffic,,,,,
301.75,302.25,traffic,,,,,
302.25,302.75,traffic,,,,,
302.75,303.25,traffic,,,,,
303.25,303.75,traffic,,,,,
303.75,304.25,traffic,,,,,
304.25,304.75,traffic,,,,,
304.75,305.25,traffic,,,,,
305.25,305.75,traffic,,,,,
305.75,306.25,other,,,,,
306.25,306.75,traffic,,,,,
